"","A1","A2","A3","B1","B2","B3","B4","А4"
"ENSG00000015475",542,540,619,1384,1209,1058,1163,591
"ENSG00000015479",9190,9841,9660,3812,4060,4159,4156,9361
"ENSG00000015520",2634,2436,2608,38,47,28,33,2555
"ENSG00000015532",575,466,521,257,310,209,254,479
"ENSG00000015568",1810,2039,1864,869,791,1060,822,1826
"ENSG00000015592",23,25,24,37,32,52,54,19
"ENSG00000015676",1608,1865,1649,1338,1363,1376,1347,1646
"ENSG00000016082",30,55,49,8,10,9,7,47
"ENSG00000016391",866,736,940,106,102,99,115,594
"ENSG00000016402",185,119,165,18,53,19,10,148
"ENSG00000016490",56242,55032,56265,729,780,768,741,53529
"ENSG00000016602",9,3,2,20,23,28,21,3
"ENSG00000016864",835,845,960,497,412,486,376,950
"ENSG00000017260",1788,2049,2128,1228,1272,1507,1254,1596
"ENSG00000017427",366,573,448,110,103,58,136,378
"ENSG00000017483",290,345,303,154,151,139,120,310
"ENSG00000017797",1901,1937,1859,1703,1725,1730,1571,1886
"ENSG00000018189",1306,1450,1289,741,762,771,751,1320
"ENSG00000018236",99,147,262,76,61,80,44,122
"ENSG00000018280",266,260,238,2759,2411,2260,2234,291
"ENSG00000018408",585,666,500,134,141,140,145,558
"ENSG00000018510",2065,2153,2275,1095,1106,1173,1222,2106
"ENSG00000018607",0,0,1,7,5,3,7,0
"ENSG00000018610",685,624,689,254,272,290,272,728
"ENSG00000018625",323,312,231,92,102,82,118,267
"ENSG00000018699",292,314,354,458,384,478,308,282
"ENSG00000018869",36,30,52,66,95,70,56,29
"ENSG00000019102",48,40,60,27,20,21,20,39
"ENSG00000019144",1159,1120,1144,482,576,533,475,1074
"ENSG00000019169",139,139,175,66,96,58,75,160
"ENSG00000019186",2,2,3,25,12,33,24,2
"ENSG00000019485",348,309,340,172,132,88,165,241
"ENSG00000019505",925,871,923,52,34,43,18,869
"ENSG00000019549",110,148,116,12,13,12,16,140
"ENSG00000019582",16547,14827,16136,1594,1524,1244,1415,15594
"ENSG00000019991",106,103,110,338,356,297,364,92
"ENSG00000019995",1669,1519,1504,1680,1690,1742,1735,1477
"ENSG00000020129",146,162,146,56,88,61,65,152
"ENSG00000020181",423,326,526,34,46,67,44,374
"ENSG00000020219",1,1,0,6,8,3,6,0
"ENSG00000020256",436,410,372,249,272,253,277,360
"ENSG00000020426",419,348,336,197,193,192,189,344
"ENSG00000020577",817,1018,814,237,218,279,220,1025
"ENSG00000020633",184,151,238,646,782,692,723,179
"ENSG00000020922",871,850,985,1393,1383,1492,1496,873
"ENSG00000021300",225,191,151,119,116,81,116,176
"ENSG00000021355",6794,7425,6650,2283,2162,2270,2036,6439
"ENSG00000021461",54,29,39,43,48,54,61,45
"ENSG00000021488",2342,2130,2315,57,53,70,62,2411
"ENSG00000021574",1853,1793,1825,1460,1437,1489,1356,1977
"ENSG00000021645",276,286,236,196,226,229,194,264
"ENSG00000021762",261,214,282,341,382,325,268,216
"ENSG00000021776",2904,2915,2650,2241,2253,2400,2271,2786
"ENSG00000021826",32692,33100,34478,627,652,784,664,32289
"ENSG00000021852",0,0,0,4,11,7,16,1
"ENSG00000022267",3479,3559,3478,262,297,334,267,3359
"ENSG00000022277",1993,1980,1928,1805,1855,2082,1828,2034
"ENSG00000022355",13,25,13,49,49,58,59,33
"ENSG00000022556",96,97,103,92,97,68,88,88
"ENSG00000022567",571,512,695,1059,949,1116,981,675
"ENSG00000022840",3374,3321,3481,6030,5849,5679,5301,3005
"ENSG00000022976",436,488,528,421,365,394,340,502
"ENSG00000023041",1735,1734,1897,788,850,994,723,1657
"ENSG00000023171",4986,4955,5032,355,365,332,427,4717
"ENSG00000023191",983,838,990,313,343,308,264,1006
"ENSG00000023228",5470,4973,5752,1027,1032,1109,1099,5579
"ENSG00000023287",4309,4550,4428,2310,2495,2930,2218,4336
"ENSG00000023318",1819,1815,1761,813,871,895,828,1770
"ENSG00000023330",1470,1483,1587,235,209,246,188,1482
"ENSG00000023445",7288,7557,7132,3240,3396,3566,3204,7383
"ENSG00000023516",2432,2468,2265,1772,1737,1880,1848,2303
"ENSG00000023572",1505,1746,1568,413,463,499,373,1695
"ENSG00000023608",369,382,373,177,192,204,202,431
"ENSG00000023697",2493,2444,2633,390,399,375,317,2605
"ENSG00000023734",1038,1200,1177,221,235,310,228,1065
"ENSG00000023839",2950,3069,2996,270,263,185,268,3028
"ENSG00000023892",386,333,419,1555,1604,1501,1338,409
"ENSG00000023902",806,646,809,1067,1146,1290,1118,786
"ENSG00000023909",4777,4839,5024,610,429,526,408,4900
"ENSG00000024048",5675,5793,5815,6887,6734,7107,6501,6004
"ENSG00000024422",228,229,204,145,95,145,148,207
"ENSG00000024526",364,330,268,44,35,47,42,275
"ENSG00000024862",624,614,626,370,340,342,324,578
"ENSG00000025039",381,334,380,473,456,437,454,324
"ENSG00000025156",359,357,421,320,240,256,307,465
"ENSG00000025293",1133,1314,1039,1448,1503,1510,1395,1114
"ENSG00000025423",74,57,59,31,10,26,28,59
"ENSG00000025434",1081,1056,1180,83,101,73,55,1127
"ENSG00000025708",562,409,549,1575,1570,1490,1471,456
"ENSG00000025770",586,556,655,341,300,296,288,612
"ENSG00000025772",270,247,239,152,164,134,113,201
"ENSG00000025796",1491,1673,1493,990,1012,969,892,1397
"ENSG00000025800",2456,2161,2475,1378,1554,1431,1434,2318
