"","x"
"656","ENSG00000196352"
"657","ENSG00000160991"
"658","ENSG00000213071"
"659","ENSG00000196092"
"660","ENSG00000123405"
"661","ENSG00000112343"
"662","ENSG00000249850"
"663","ENSG00000176695"
"664","ENSG00000136560"
"665","ENSG00000022840"
"666","ENSG00000124126"
"667","ENSG00000172324"
"668","ENSG00000135046"
"669","ENSG00000112195"
"670","ENSG00000140575"
"671","ENSG00000204160"
"672","ENSG00000162923"
"673","ENSG00000197532"
"674","ENSG00000108309"
"675","ENSG00000151466"
"676","ENSG00000275594"
"677","ENSG00000174579"
"678","ENSG00000131378"
"679","ENSG00000005961"
"680","ENSG00000239998"
"681","ENSG00000235915"
"682","ENSG00000140932"
"683","ENSG00000089775"
"684","ENSG00000198399"
"685","ENSG00000127603"
"686","ENSG00000107669"
"687","ENSG00000065675"
"688","ENSG00000069424"
"689","ENSG00000008516"
"690","ENSG00000255040"
"691","ENSG00000130150"
"692","ENSG00000130227"
"693","ENSG00000181381"
"694","ENSG00000130755"
"695","ENSG00000178789"
"696","ENSG00000169826"
"697","ENSG00000008513"
"698","ENSG00000143951"
"699","ENSG00000158869"
"700","ENSG00000169896"
"701","ENSG00000114331"
"702","ENSG00000147394"
"703","ENSG00000275565"
"704","ENSG00000163421"
"705","ENSG00000074803"
"706","ENSG00000086232"
"707","ENSG00000181458"
"708","ENSG00000183625"
"709","ENSG00000238083"
"710","ENSG00000182541"
"711","ENSG00000277221"
"712","ENSG00000140455"
"713","ENSG00000180739"
"714","ENSG00000026652"
"715","ENSG00000188897"
"716","ENSG00000184319"
"717","ENSG00000283658"
"718","ENSG00000159496"
"719","ENSG00000186074"
"720","ENSG00000138378"
"721","ENSG00000261371"
"722","ENSG00000181036"
"723","ENSG00000106952"
"724","ENSG00000134996"
"725","ENSG00000145428"
"726","ENSG00000163508"
"727","ENSG00000186908"
"728","ENSG00000228463"
"729","ENSG00000122484"
"730","ENSG00000102524"
"731","ENSG00000163492"
"732","ENSG00000228987"
"733","ENSG00000138071"
"734","ENSG00000234444"
"735","ENSG00000198625"
"736","ENSG00000197057"
"737","ENSG00000165682"
"738","ENSG00000131370"
"739","ENSG00000183943"
"740","ENSG00000229529"
"741","ENSG00000087157"
"742","ENSG00000099785"
"743","ENSG00000073921"
"744","ENSG00000135604"
"745","ENSG00000224320"
"746","ENSG00000229215"
"747","ENSG00000160185"
"748","ENSG00000104894"
"749","ENSG00000256069"
"750","ENSG00000181896"
"751","ENSG00000275019"
"752","ENSG00000096093"
"753","ENSG00000151338"
"754","ENSG00000136842"
"755","ENSG00000187116"
"756","ENSG00000025708"
"757","ENSG00000106603"
"758","ENSG00000237515"
"759","ENSG00000135074"
"760","ENSG00000139436"
"761","ENSG00000124203"
