"","Correlation","Gene"
"487",0.725914526844556,"TSSC1"
"488",0.578534672854979,"PNPLA6"
"489",0.559530591831485,"IFT88"
"490",0.85078284251923,"ALG1"
"491",0.843437258851653,"ZCCHC8"
"492",0.800842138842093,"ABCF2"
"493",0.505627933106628,"CHPF2"
"494",0.126229578194761,"LRRC7"
"495",0.572997150435431,"FUT8"
"496",0.493781334127392,"UBA6"
"497",0.557852571905184,"GAB2"
"498",0.923998293861647,"ATP6V0A1"
"499",0.739375471581517,"PIAS1"
"500",0.773043107045411,"SLC4A7"
"501",0.662770015917665,"APBA2"
"502",0.505247502317463,"MAP2K3"
"503",0.132334332843915,"EFCAB1"
"504",0.94684409287577,"TMSB10"
"505",0.401656267992714,"ASTE1"
"506",0.828377872512574,"RNF19A"
"507",0.607051183162059,"PEX3"
"508",0.740453352694536,"GABARAPL2"
"509",0.56797597161864,"MYOC"
"510",0.830939892498174,"SH3YL1"
"511",0.827770474749735,"FAM136A"
"512",0.765566380440583,"VCL"
"513",0.906682482624687,"DEPDC1B"
"514",0.57336332762853,"DAPK2"
"515",0.905220157301729,"NSMAF"
"516",0.800006831587303,"ADSS"
"517",0.225780348329582,"STAP1"
"518",0.784812646693872,"TIMP2"
"519",0.815279885846156,"RFC1"
"520",0.519118667034851,"TBC1D23"
"521",0.748448122757581,"CUL3"
"522",0.769269657593338,"MYOM2"
"523",0.878815702174557,"OTC"
"524",-0.316950955122714,"CYP46A1"
"525",0.427063239950193,"ZZZ3"
"526",-0.057827344226321,"SLC18A1"
"527",0.801078639283253,"USP2"
"528",0.54871910293743,"CASR"
"529",0.543920129420739,"TUBG2"
"530",0.532984737086743,"RPL26L1"
"531",0.751745695080079,"FLT4"
"532",0.78436341331204,"NSUN2"
"533",0.411845566838998,"FBXO42"
"534",0.584901050805796,"MFAP3"
"535",0.0944603207302222,"MRI1"
"536",0.237451505562722,"METTL1"
"538",0.92259714209322,"AGA"
"539",0.566306023068943,"PI4K2B"
"540",0.622939348057947,"BOD1L1"
"541",0.641894840691645,"MAT2B"
"542",-0.270775673728093,"TLL1"
"543",0.549219374761628,"EDC4"
"544",0.71608659842489,"TRIO"
"545",0.980698280713625,"VCAN"
"546",0.558347191351862,"CLEC16A"
"547",0.628641212912104,"MSR1"
"548",0.910069588746226,"CDH1"
"549",0.635780174853398,"SKIV2L2"
"550",0.790399158442297,"DNAH5"
"551",0.599457762594493,"ZFYVE16"
"552",0.253908282905258,"FAM65A"
"553",0.896789718152337,"C6"
"554",0.725395300616227,"RAI14"
"555",0.0143245014197847,"SOX30"
"556",0.0530847814129004,"PNKP"
"557",-0.101953307015191,"BEST2"
"558",0.627396617588195,"PHLPP2"
"559",0.7346481357595,"SPDL1"
"560",0.96491956314598,"STAU2"
"561",0.0883183299930292,"PQLC2"
"562",0.829197857277305,"CTNS"
"563",0.691482122501231,"RTN4R"
"564",0.399680123444646,"PHF23"
"565",0.320451770601065,"CDH10"
"566",0.670994372496958,"INPP4A"
"567",0.695371497492942,"RAB27B"
"568",0.768181227502207,"PSMA4"
"569",0.788235621516642,"MYO16"
"570",0.750161239519832,"LSG1"
"571",0.769486326273033,"PARP3"
"572",0.807567167559004,"TNC"
"573",0.101555508867046,"THAP3"
"574",0.897800975451703,"FAM65C"
"575",0.877065250200361,"TDP1"
"576",0.604335985936858,"AIFM2"
"578",0.325452752577261,"SPATA7"
"579",0.566836018456182,"MED17"
"580",0.832244433989305,"RETSAT"
"581",0.885294554714405,"CAPG"
"582",0.328839761987319,"AP2S1"
"583",0.723093993101584,"USH2A"
"585",0.797488384760726,"TG"
"586",0.902930048798132,"ADAM28"
"587",0.956106334800609,"BARX2"
"588",0.407711809898588,"DCUN1D1"
"589",0.697849495138646,"JADE2"
"590",0.418736919169785,"ZIC2"
"591",0.587406253054141,"LCP2"
"592",0.560296582292863,"TRIT1"
"593",-0.0144496776289626,"ADRB1"
"594",0.856265728485065,"GUCA2B"
"595",0.737708482982285,"CUL7"
"596",0.897049571001965,"CTNNA1"
"597",0.425726731197098,"PHKA2"
"598",0.0728230859249397,"CNTLN"
"599",0.837409587415813,"EPHA3"
"600",0.873863787498107,"HSPA5"
"601",0.938101335785315,"DSG2"
"602",0.3256060452679,"GEMIN8"
"603",0.633347915183367,"OFD1"
"604",0.0357667286202039,"GPM6B"
"605",0.975792537116121,"MAGEC2"
"606",0.804802064089189,"PREX2"
"607",0.468285721951815,"WDR37"
"608",0.376456340780923,"YTHDC2"
"609",0.873437015612416,"CTPS2"
"610",0.962713275804496,"ATP6V1H"
"611",0.733123424046679,"POLR2B"
"612",0.323338228733425,"FAM214A"
"613",0.455842319521355,"ARAP2"
"614",0.918475216123446,"TPR"
"615",0.84055730950262,"CP"
"616",0.794274955257539,"KIAA0556"
"617",0.212134311538739,"DTNBP1"
"618",0.714771109323782,"XK"
"619",0.950684789145787,"ANO2"
"620",0.52633547667039,"C12orf4"
"621",0.90052687773407,"SCML1"
"622",0.850537293147978,"WWC3"
"623",0.0682331347838553,"ARHGAP6"
"624",0.0805948576189614,"FAM184B"
"625",0.783032950393549,"MAP4"
"626",0.563111833811809,"GOPC"
"627",0.629432409588018,"ROS1"
"628",0.373790643115588,"USP28"
"629",0.579717820038555,"HDAC9"
"630",0.0878883094338354,"TSPAN17"
"631",0.661798210074951,"NOP16"
"632",0.801609642224221,"CC2D2A"
"633",0.945986702690608,"RRM2B"
"634",0.214333355334561,"ZNF800"
"635",0.175754963867107,"TNFRSF17"
"636",0.902606285751139,"SNX29"
"638",0.888806927432097,"MRPS10"
"639",0.995611480272548,"GUCA1A"
"640",0.300887007599325,"RSF1"
"641",0.600524826888717,"VPS13D"
"642",0.49258437107993,"CELF2"
"643",0.761229369011223,"FAM120A"
"644",0.801904822169901,"R3HDM1"
"645",0.875517389494359,"COL9A2"
"646",0.635740473268538,"KITLG"
"647",0.733701151302697,"ERCC8"
"648",0.825766363029104,"ADAMTS6"
"649",0.731234119750149,"H6PD"
"650",0.58856904127404,"VAMP3"
"651",0.705739358719573,"PER3"
"652",0.622052137474311,"UTS2"
"653",0.704361733087601,"TNFRSF9"
"654",0.891107655629096,"EPN3"
"655",0.592032726757002,"LTBP1"
"656",0.736909031163207,"RCN1"
"657",0.653576456534968,"ELN"
"658",0.924104514187973,"RFC2"
"659",0.466628938788814,"ARID1B"
"660",0.813586509219998,"CLPTM1L"
"661",0.80251352266668,"NEDD4L"
"662",-0.0338116400024618,"FOXP3"
"663",0.561418774048448,"PPP1R3F"
"664",0.958457915080836,"HEXB"
"665",0.675077147880352,"PTCD2"
"666",0.339149238745716,"KIAA2022"
"667",0.813342961741052,"JKAMP"
"668",0.973994723862868,"DKK3"
"669",0.548021988414024,"ARHGEF5"
"670",0.826108768196242,"NFE2L3"
"671",0.985268091494462,"MCUR1"
"672",0.890206689022226,"LIMA1"
"673",0.407958000933452,"LETMD1"
"674",0.556874073593222,"SLC4A8"
"675",0.847345223098461,"LAMC3"
"676",0.647025049414489,"PTGER3"
"677",0.354420111463125,"TNIP3"
"678",0.856587598420773,"MAPK9"
"679",0.875943361063569,"COL23A1"
"680",0.725639876411123,"BCAR1"
"681",0.130945741430089,"FAM160A2"
"682",0.821446631225708,"HERPUD1"
"683",0.49900538170967,"HOMER3"
"684",0.864154034874889,"RAD51"
"685",0.621629380075188,"POLQ"
"686",0.747657222912711,"PIK3CB"
"687",0.790874196838943,"CYBA"
"688",0.490488588384577,"THOC3"
"689",0.706182647109102,"HEBP2"
"690",0.709118718293826,"MPHOSPH9"
"691",0.891439760260003,"PLEKHA5"
"692",0.82248289205639,"PRSS8"
"693",0.395491519848811,"SIKE1"
"694",0.800356238530934,"RRP12"
"695",0.616200294009951,"FNIP2"
"696",0.869982764556643,"MSMO1"
"697",0.675004890553757,"TTC17"
"698",-0.0408759559656644,"ALX4"
"699",0.94228931242178,"FSTL4"
"700",0.619107108190598,"FOXN3"
"701",-0.0103068074877194,"METTL24"
