"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPON2",386.188028855613,1.87851308867194,0.386907305120139,4.85520191480655,1.20264137329096e-06,4.92412869615496e-05
"CDKN3",32.342457815184,3.33172035769101,0.687064571596157,4.84920995118539,1.23954171816639e-06,5.06037469854945e-05
"TLCD1",26.8763591369167,2.6867690346509,0.554707568227967,4.84357738841365,1.27522019681402e-06,5.17576290346433e-05
"H2AFX",32.8110189529942,2.41855389276505,0.500752966927467,4.82983437443193,1.36646665308615e-06,5.46664968779051e-05
"NT5DC2",42.213944696954,2.85293793865055,0.590806972537667,4.82888332613349,1.3730082163199e-06,5.47712591893098e-05
"APOBEC3B",9.5866618015126,3.86970899535719,0.802536055207433,4.82185064489966,1.42232428116672e-06,5.62797605210149e-05
"MED20",52.6825938714636,1.33914702641199,0.278584278600667,4.8069727162586,1.53232893237765e-06,5.99282256410553e-05
"PNMA3",10.6680502478265,5.8987803016289,1.22827451037934,4.80249345873598,1.56701940026391e-06,6.082617381829e-05
"RAN",234.066980700363,1.04403959311085,0.218066140315547,4.78771987067825,1.6868688339122e-06,6.47034688436324e-05
"EPS8L3",50.6530373387992,4.11240064415351,0.861322127426293,4.77452106849005,1.80135425372989e-06,6.8529994797212e-05
"NME1",51.4539478744321,1.92539404826087,0.404410981946309,4.7609835890077,1.92651715533276e-06,7.26973851966378e-05
"CNOT11",179.858926065922,1.33499627973454,0.28067992772156,4.75629408405323,1.97179166952866e-06,7.42052703233401e-05
"CLDN15",147.648156979825,2.90784134859616,0.615559834821275,4.72389714874824,2.31367462266817e-06,8.56857429222625e-05
"COA6",121.484601379309,1.94846080534465,0.412422576925869,4.7244280850679,2.30763857130722e-06,8.56857429222625e-05
"RFC4",57.4433227108646,2.0249141063268,0.42876033163431,4.72271793103716,2.32713505769549e-06,8.59562425278954e-05
"UXS1",123.016423161499,1.61180211326577,0.341766287620147,4.71609451151365,2.40414791067729e-06,8.8333455602306e-05
"MCM2",119.227082440192,1.82657159404766,0.387837693762713,4.70962885615031,2.48168279104107e-06,9.09429268464971e-05
"APH1A",247.705733590521,1.27588329319936,0.271094310758253,4.70641855091206,2.52106643964363e-06,9.21443184039383e-05
"SRPK1",225.292209500463,1.09713013660074,0.233357986883751,4.70148954939041,2.58270484720345e-06,9.41507182158084e-05
"SNRPA1",34.6893880272511,2.2130333609576,0.47173478527927,4.6912660037302,2.71519684513817e-06,9.82113428803604e-05
"HIST1H2BK",58.835559081779,1.72627534370092,0.368065075460884,4.69013622533816,2.73023218392831e-06,9.85000045271499e-05
"TRIM47",91.938668838351,1.88580117469481,0.402527957259917,4.68489490154127,2.80103623603842e-06,0.000100793989504042
"PSMD4",412.760531018149,1.10344552719045,0.23616359104074,4.67237783067117,2.97732614177366e-06,0.000106862281726077
"RPL22L1",90.4642859623972,1.99165821047165,0.427580549464983,4.65797196098781,3.19339693038802e-06,0.000113724307324387
"HIST1H2AH",43.7879606366037,2.60764676306342,0.559884063654372,4.65747631044053,3.20109244939723e-06,0.000113724307324387
"TKT",1035.22784245056,1.8963175560148,0.407208157961741,4.65687516062232,3.21044983099072e-06,0.000113767260254549
"CKAP4",353.410123625014,1.4950317927879,0.322839760814876,4.63087876479126,3.64117038187478e-06,0.000125836685326078
"SLC12A9",92.7909321046132,1.40019790778232,0.302302234010874,4.63178154261328,3.62532573663723e-06,0.000125836685326078
"RAB3B",25.2495880242572,4.21244690504944,0.909608569068186,4.63105455280036,3.63807993212463e-06,0.000125836685326078
"EHMT2",140.129464608232,1.35547285303155,0.29321206633289,4.62284131067324,3.78519289274781e-06,0.000130375039222249
"FADS1",230.483541448432,1.98081316227394,0.429587021581958,4.61097068291212,4.00793064585021e-06,0.0001358221545567
