"","A1","A2","A3","B1","B2","B3","B4","B5","А4","А5"
"ENSG00000010803",762,801,867,252,196,249,164,593,987,1349
"ENSG00000010810",1002,1040,1050,4308,4443,4099,3953,6797,1002,1261
"ENSG00000010818",1971,1698,1176,2159,1796,3057,1909,905,1098,795
"ENSG00000010932",42,35,43,25,8,40,16,35,47,61
"ENSG00000011007",1158,1084,1218,434,468,362,386,1607,1160,1718
"ENSG00000011009",899,785,932,170,120,155,109,4135,1000,2435
"ENSG00000011021",661,557,626,392,357,323,371,505,660,787
"ENSG00000011028",496,389,414,573,576,554,388,684,542,605
"ENSG00000011052",0,69,17,21,0,0,0,37,22,82
"ENSG00000011083",112,104,108,39,27,13,26,0,128,125
"ENSG00000011105",357,359,404,70,31,91,71,182,317,564
"ENSG00000011114",852,943,832,582,635,642,541,319,828,763
"ENSG00000011132",506,534,559,291,297,254,259,1847,480,582
"ENSG00000011143",265,256,199,153,113,122,123,342,239,377
"ENSG00000011198",1415,1431,1415,3042,2797,3003,2898,4333,1425,1457
"ENSG00000011201",29,64,58,50,65,47,42,15,48,52
"ENSG00000011243",1067,930,1044,570,559,567,542,3615,1019,1643
"ENSG00000011258",1230,1328,1503,1240,1351,1411,1387,633,1258,1063
"ENSG00000011260",529,609,528,420,410,355,415,1162,577,856
"ENSG00000011275",1406,1349,1201,1749,1504,1673,1750,2492,1259,937
"ENSG00000011295",2599,2691,2639,1030,987,916,973,675,2515,3391
"ENSG00000011304",2603,2606,2510,940,922,923,747,6706,2452,6626
"ENSG00000011332",26,43,40,67,93,80,74,15,31,14
"ENSG00000011347",110,132,151,19,30,28,30,0,135,297
"ENSG00000011376",697,638,762,487,441,577,462,364,695,607
"ENSG00000011405",5895,5720,5617,1536,1643,1681,1916,396,5356,2147
"ENSG00000011422",265,189,246,713,665,596,585,3030,237,222
"ENSG00000011426",314,357,424,102,73,89,116,22,326,319
"ENSG00000011451",403,363,522,134,101,104,140,1773,443,1545
"ENSG00000011454",1550,1475,1447,1401,1358,1043,1207,695,1648,1261
"ENSG00000011465",5888,5987,5838,308,302,300,316,157,5966,9537
